time,heart_rate
2024-11-28T09:59:48Z,73
2024-11-28T09:59:53Z,74
2024-11-28T09:59:58Z,73
2024-11-28T10:00:08Z,74
2024-11-28T10:00:13Z,76
2024-11-28T10:00:18Z,75
2024-11-28T10:00:23Z,74
2024-11-28T10:00:28Z,72
2024-11-28T10:00:33Z,70
2024-11-28T10:00:43Z,71
2024-11-28T10:00:48Z,74
2024-11-28T10:00:53Z,76
2024-11-28T10:00:58Z,75
2024-11-28T10:01:03Z,73
2024-11-28T10:01:08Z,71
2024-11-28T10:01:13Z,69
2024-11-28T10:01:28Z,71
2024-11-28T10:01:33Z,72
2024-11-28T10:01:38Z,73
2024-11-28T10:01:43Z,74
2024-11-28T10:01:48Z,76
2024-11-28T10:01:53Z,78
2024-11-28T10:01:58Z,80
2024-11-28T10:02:03Z,78
2024-11-28T10:02:08Z,75
2024-11-28T10:02:13Z,73
2024-11-28T10:02:18Z,74
2024-11-28T10:02:23Z,75
2024-11-28T10:02:28Z,74
2024-11-28T10:02:33Z,73
2024-11-28T10:02:38Z,71
2024-11-28T10:02:43Z,70
2024-11-28T10:02:48Z,70
2024-11-28T10:03:03Z,72
2024-11-28T10:03:08Z,74
2024-11-28T10:03:23Z,74
2024-11-28T10:03:38Z,73
2024-11-28T10:03:53Z,73
2024-11-28T10:03:58Z,74
2024-11-28T10:04:08Z,76
2024-11-28T10:04:13Z,75
2024-11-28T10:04:18Z,75
2024-11-28T10:04:28Z,76
2024-11-28T10:04:43Z,76
2024-11-28T10:04:48Z,76
2024-11-28T10:05:03Z,77
2024-11-28T10:05:18Z,77
2024-11-28T10:05:33Z,78
2024-11-28T10:05:48Z,78
2024-11-28T10:05:58Z,76
2024-11-28T10:06:03Z,76
2024-11-28T10:06:18Z,76
2024-11-28T10:06:33Z,74
2024-11-28T10:06:38Z,71
2024-11-28T10:06:53Z,69
2024-11-28T10:06:58Z,67
2024-11-28T10:07:03Z,67
2024-11-28T10:07:08Z,67
2024-11-28T10:07:23Z,68
2024-11-28T10:07:33Z,69
2024-11-28T10:07:38Z,70
2024-11-28T10:07:43Z,71
2024-11-28T10:07:48Z,72
2024-11-28T10:07:53Z,73
2024-11-28T10:08:08Z,73
2024-11-28T10:08:23Z,73
2024-11-28T10:08:28Z,72
2024-11-28T10:08:38Z,71
2024-11-28T10:08:43Z,70
2024-11-28T10:08:48Z,69
2024-11-28T10:08:53Z,68
2024-11-28T10:09:03Z,70
2024-11-28T10:09:08Z,71
2024-11-28T10:09:18Z,68
2024-11-28T10:09:28Z,71
2024-11-28T10:09:43Z,69
2024-11-28T10:09:53Z,68
2024-11-28T10:09:58Z,67
2024-11-28T10:10:03Z,66
2024-11-28T10:10:13Z,67
2024-11-28T10:10:28Z,68
2024-11-28T10:10:33Z,69
2024-11-28T10:10:38Z,68
2024-11-28T10:10:43Z,68
2024-11-28T10:10:48Z,69
2024-11-28T10:10:58Z,68
2024-11-28T10:11:03Z,66
2024-11-28T10:11:08Z,66
2024-11-28T10:11:13Z,68
2024-11-28T10:11:23Z,69
2024-11-28T10:11:38Z,70
2024-11-28T10:11:43Z,72
2024-11-28T10:11:48Z,71
2024-11-28T10:11:53Z,69
2024-11-28T10:12:03Z,70
2024-11-28T10:12:08Z,71
2024-11-28T10:12:18Z,72
2024-11-28T10:12:33Z,69
2024-11-28T10:12:38Z,70
2024-11-28T10:12:53Z,70
2024-11-28T10:13:03Z,71
2024-11-28T10:13:13Z,70
2024-11-28T10:13:18Z,71
2024-11-28T10:13:23Z,72
2024-11-28T10:13:33Z,73
2024-11-28T10:13:38Z,72
2024-11-28T10:13:43Z,73
2024-11-28T10:13:53Z,74
2024-11-28T10:14:03Z,75
2024-11-28T10:14:08Z,74
2024-11-28T10:14:13Z,72
2024-11-28T10:14:18Z,71
2024-11-28T10:14:28Z,72
2024-11-28T10:14:38Z,71
2024-11-28T10:14:48Z,69
2024-11-28T10:14:53Z,67
2024-11-28T10:15:03Z,68
2024-11-28T10:15:08Z,67
2024-11-28T10:15:13Z,66
2024-11-28T10:15:18Z,65
2024-11-28T10:15:33Z,65
2024-11-28T10:15:38Z,64
2024-11-28T10:15:48Z,65
2024-11-28T10:15:53Z,66
2024-11-28T10:15:58Z,65
2024-11-28T10:16:03Z,64
2024-11-28T10:16:08Z,64
2024-11-28T10:16:13Z,65
2024-11-28T10:16:28Z,65
2024-11-28T10:16:38Z,66
2024-11-28T10:16:43Z,67
2024-11-28T10:16:48Z,68
2024-11-28T10:17:03Z,67
2024-11-28T10:17:13Z,68
2024-11-28T10:17:18Z,72
2024-11-28T10:17:23Z,78
2024-11-28T10:17:38Z,78
2024-11-28T10:17:43Z,77
2024-11-28T10:17:48Z,76
2024-11-28T10:17:58Z,74
2024-11-28T10:18:13Z,76
2024-11-28T10:18:18Z,80
2024-11-28T10:18:23Z,81
2024-11-28T10:18:28Z,81
2024-11-28T10:18:33Z,80
2024-11-28T10:18:38Z,78
2024-11-28T10:18:43Z,76
2024-11-28T10:18:48Z,75
2024-11-28T10:18:53Z,74
2024-11-28T10:19:08Z,74
2024-11-28T10:19:13Z,75
2024-11-28T10:19:18Z,74
2024-11-28T10:19:28Z,75
2024-11-28T10:19:33Z,75
2024-11-28T10:19:48Z,73
2024-11-28T10:19:53Z,72
2024-11-28T10:20:03Z,70
2024-11-28T10:20:08Z,70
2024-11-28T10:20:13Z,71
2024-11-28T10:20:18Z,70
2024-11-28T10:20:23Z,71
2024-11-28T10:20:28Z,72
2024-11-28T10:20:33Z,71
2024-11-28T10:20:38Z,70
2024-11-28T10:20:43Z,69
2024-11-28T10:20:48Z,69
2024-11-28T10:20:53Z,70
2024-11-28T10:20:58Z,71
2024-11-28T10:21:03Z,72
2024-11-28T10:21:08Z,75
2024-11-28T10:21:13Z,77
2024-11-28T10:21:18Z,75
2024-11-28T10:21:23Z,74
2024-11-28T10:21:28Z,72
2024-11-28T10:21:33Z,71
2024-11-28T10:21:43Z,72
2024-11-28T10:21:58Z,72
2024-11-28T10:22:13Z,73
2024-11-28T10:22:23Z,72
2024-11-28T10:22:28Z,73
2024-11-28T10:22:43Z,73
2024-11-28T10:22:53Z,74
2024-11-28T10:22:58Z,75
2024-11-28T10:23:08Z,73
2024-11-28T10:23:13Z,72
2024-11-28T10:23:18Z,73
2024-11-28T10:23:23Z,74
2024-11-28T10:23:33Z,73
2024-11-28T10:23:38Z,72
2024-11-28T10:23:48Z,71
2024-11-28T10:23:58Z,72
2024-11-28T10:24:03Z,72
2024-11-28T10:24:08Z,71
2024-11-28T10:24:13Z,71
2024-11-28T10:24:18Z,72
2024-11-28T10:24:23Z,71
2024-11-28T10:24:28Z,69
2024-11-28T10:24:38Z,68
2024-11-28T10:24:53Z,67
2024-11-28T10:25:08Z,66
2024-11-28T10:25:13Z,63
2024-11-28T10:25:18Z,62
2024-11-28T10:25:23Z,63
2024-11-28T10:25:28Z,64
2024-11-28T10:25:38Z,66
2024-11-28T10:25:43Z,68
2024-11-28T10:25:48Z,69
2024-11-28T10:25:53Z,70
2024-11-28T10:25:58Z,69
2024-11-28T10:26:03Z,68
2024-11-28T10:26:08Z,67
2024-11-28T10:26:13Z,68
2024-11-28T10:26:18Z,66
2024-11-28T10:26:23Z,65
2024-11-28T10:26:33Z,66
2024-11-28T10:26:43Z,68
2024-11-28T10:26:48Z,69
2024-11-28T10:26:58Z,70
2024-11-28T10:27:03Z,70
2024-11-28T10:27:08Z,70
2024-11-28T10:27:13Z,69
2024-11-28T10:27:23Z,70
2024-11-28T10:27:28Z,71
2024-11-28T10:27:38Z,72
2024-11-28T10:27:43Z,73
2024-11-28T10:27:53Z,72
2024-11-28T10:27:58Z,74
2024-11-28T10:28:03Z,75
2024-11-28T10:28:13Z,76
2024-11-28T10:28:28Z,76
2024-11-28T10:28:33Z,74
2024-11-28T10:28:48Z,75
2024-11-28T10:29:03Z,74
