date,steps
2023-08-05,8374
2023-08-06,8843
2023-08-07,8029
2023-08-08,8189
2023-08-09,3583
2023-08-10,5695
2023-08-11,5666
2023-08-12,5523
2023-08-13,3941
2023-08-14,3976
2023-08-15,3758
2023-08-16,5962
2023-08-17,5849
2023-08-18,4742
2023-08-19,6188
2023-08-20,4908
2023-08-21,8639
2023-08-22,6772
2023-08-23,8740
2023-08-24,3909
2023-08-25,4788
2023-08-26,2642
2023-08-27,5302
2023-08-28,6550
2023-08-29,5356
2023-08-30,8727
2023-08-31,4442
2023-09-01,3114
2023-09-02,3406
2023-09-03,3330
2023-09-04,5126
2023-09-05,5339
2023-09-06,10522
2023-09-07,3871
2023-09-08,5843
2023-09-09,5952
2023-09-10,3887
2023-09-11,4035
2023-09-12,3773
2023-09-13,7306
2023-09-14,7673
2023-09-15,6703
2023-09-16,6573
2023-09-17,6691
2023-09-18,4426
2023-09-19,3929
2023-09-20,9302
2023-09-21,5944
2023-09-22,4423
2023-09-23,10459
2023-09-24,4387
2023-09-25,3603
2023-09-26,3737
2023-09-27,7215
2023-09-28,7164
2023-09-29,4265
2023-09-30,12131
2023-10-01,3141
2023-10-02,5700
2023-10-03,7067
2023-10-04,11084
2023-10-05,9025
2023-10-06,8933
2023-10-07,8300
2023-10-08,8115
2023-10-09,792
2023-10-10,1234
2023-10-11,8023
2023-10-12,5917
2023-10-13,6278
2023-10-14,8037
2023-10-15,14689
2023-10-16,7771
2023-10-17,7826
2023-10-18,7744
2023-10-19,12983
2023-10-20,3382
2023-10-21,10789
2023-10-22,4528
2023-10-23,6672
2023-10-24,6093
2023-10-25,10548
2023-10-26,8281
2023-10-27,7557
2023-10-28,8038
2023-10-29,9620
2023-10-30,5868
2023-10-31,7776
2023-11-01,11615
2023-11-02,9112
2023-11-03,8876
2023-11-04,4703
2023-11-05,10838
2023-11-06,4954
2023-11-07,6410
2023-11-08,13495
2023-11-09,9754
2023-11-10,2534
2023-11-11,8418
2023-11-12,8152
2023-11-13,7523
2023-11-14,4411
2023-11-15,10077
2023-11-16,4694
2023-11-17,3984
2023-11-18,4805
2023-11-19,5104
2023-11-20,9570
2023-11-21,3919
2023-11-22,11463
2023-11-23,3723
2023-11-24,3821
2023-11-25,8646
2023-11-26,6501
2023-11-27,6872
2023-11-28,4993
2023-11-29,11121
2023-11-30,7979
2023-12-01,5208
2023-12-02,4053
2023-12-03,2752
2023-12-04,5252
2023-12-05,7144
2023-12-06,5963
2023-12-07,7001
2023-12-08,5432
2023-12-09,4644
2023-12-10,3093
2023-12-11,3704
2023-12-12,10428
2023-12-13,7975
2023-12-14,6627
2023-12-15,6694
2023-12-16,7223
2023-12-17,9827
2023-12-18,6683
2023-12-19,20701
2023-12-20,6901
2023-12-21,20693
2023-12-22,23125
2023-12-23,4266
2023-12-24,3229
2023-12-25,6139
2023-12-26,2736
2023-12-27,2298
2023-12-28,5964
2023-12-29,3447
2023-12-30,3493
2023-12-31,5102
2024-01-01,6596
2024-01-02,1834
2024-01-03,6975
2024-01-04,4393
2024-01-05,6797
2024-01-06,6741
2024-01-07,8796
2024-01-08,7103
2024-01-09,3115
2024-01-10,9130
2024-01-11,4199
2024-01-12,19916
2024-01-13,14782
2024-01-14,11932
2024-01-15,1745
2024-01-16,4211
2024-01-17,6280
2024-01-18,11484
2024-01-19,1851
2024-01-20,3243
2024-01-21,1703
2024-01-22,7338
2024-01-23,3576
2024-01-24,8426
2024-01-25,4280
2024-01-26,5409
2024-01-27,6360
2024-01-28,12553
2024-01-29,7841
2024-01-30,8021
2024-01-31,7225
2024-02-01,7383
2024-02-02,4318
2024-02-03,6352
2024-02-04,3371
2024-02-05,5517
2024-02-06,5171
2024-02-07,11920
2024-02-08,11965
2024-02-09,5481
2024-02-10,4966
2024-02-11,3373
2024-02-12,4579
2024-02-13,4763
2024-02-14,6005
2024-02-15,10233
2024-02-16,7521
2024-02-17,8713
2024-02-18,3826
2024-02-19,7878
2024-02-20,4940
2024-02-21,6485
2024-02-22,5218
2024-02-23,6723
2024-02-24,7027
2024-02-25,13595
2024-02-26,7916
2024-02-27,5771
2024-02-28,4154
2024-02-29,4545
2024-03-01,7116
2024-03-02,5803
2024-03-03,5391
2024-03-04,5475
2024-03-05,3375
2024-03-06,6399
2024-03-07,7001
2024-03-08,7685
2024-03-09,8136
2024-03-10,9369
2024-03-11,8743
2024-03-12,16045
2024-03-13,6333
2024-03-14,10890
2024-03-15,11308
2024-03-16,31644
2024-03-17,12073
2024-03-18,10674
2024-03-19,11929
2024-03-20,12212
2024-03-21,19609
2024-03-22,14407
2024-03-23,5721
2024-03-24,10993
2024-03-25,7049
2024-03-26,3584
2024-03-27,3741
2024-03-28,6166
2024-03-29,7320
2024-03-30,1804
2024-03-31,6939
2024-04-01,8688
2024-04-02,6606
2024-04-03,4806
2024-04-04,7978
2024-04-05,10297
2024-04-06,8944
2024-04-07,11105
2024-04-08,6166
2024-04-09,10173
2024-04-10,3182
2024-04-11,16654
2024-04-12,16189
2024-04-13,13063
2024-04-14,15873
2024-04-15,6888
2024-04-16,5620
2024-04-17,6848
2024-04-18,6448
2024-04-19,4849
2024-04-20,8331
2024-04-21,4024
2024-04-22,4574
2024-04-23,7116
2024-04-24,4009
2024-04-25,8942
2024-04-26,6493
2024-04-27,8284
2024-04-28,10478
2024-04-29,7964
2024-04-30,8262
2024-05-01,8618
2024-05-02,6826
2024-05-03,7658
2024-05-04,6581
2024-05-05,5259
2024-05-06,4403
2024-05-07,13437
2024-05-08,3402
2024-05-09,5310
2024-05-10,5190
2024-05-11,4581
2024-05-12,5001
2024-05-13,5926
2024-05-14,2934
2024-05-15,3519
2024-05-16,5820
2024-05-17,6345
2024-05-18,9734
2024-05-19,8988
2024-05-20,8851
2024-05-21,8385
2024-05-22,12822
2024-05-23,3560
2024-05-24,11399
2024-05-25,10325
2024-05-26,10564
2024-05-27,7461
2024-05-28,3383
2024-05-29,6801
2024-05-30,3657
2024-05-31,4348
2024-06-01,7619
2024-06-02,4953
2024-06-03,3857
2024-06-04,2831
2024-06-05,7112
2024-06-06,5078
2024-06-07,7324
2024-06-08,4856
2024-06-09,7353
2024-06-10,5581
2024-06-11,2897
2024-06-12,4723
2024-06-13,5186
2024-06-14,3639
2024-06-15,3884
2024-06-16,4461
2024-06-17,6514
2024-06-18,9334
2024-06-19,3804
2024-06-20,6200
2024-06-21,6858
2024-06-22,2689
2024-06-23,3415
2024-06-24,2699
2024-06-25,7472
2024-06-26,3935
2024-06-27,5155
2024-06-28,5031
2024-06-29,2144
2024-06-30,7427
2024-07-01,2992
2024-07-02,2617
2024-07-03,9315
2024-07-04,4592
2024-07-05,2791
2024-07-06,8908
2024-07-07,6672
2024-07-08,7575
2024-07-09,17402
2024-07-10,2866
2024-07-11,9005
2024-07-12,3943
2024-07-13,8419
2024-07-14,2637
2024-07-15,3509
2024-07-16,2055
2024-07-17,7854
2024-07-18,1482
2024-07-19,3645
2024-07-20,4586
2024-07-21,23109
2024-07-22,6755
2024-07-23,26472
2024-07-24,0
2024-07-25,0
2024-07-26,0
2024-07-27,0
2024-07-28,0
2024-07-29,0
2024-07-30,0
2024-07-31,0
2024-08-01,0
2024-08-02,0
2024-08-03,0
2024-08-04,0
2024-08-05,0
2024-08-06,0
2024-08-07,0
2024-08-08,0
2024-08-09,0
2024-08-10,0
2024-08-11,0
2024-08-12,0
2024-08-13,0
2024-08-14,7811
2024-08-15,11333
2024-08-16,4311
2024-08-17,3947
2024-08-18,3052
2024-08-19,9291
2024-08-20,4756
2024-08-21,6986
2024-08-22,4920
2024-08-23,4384
2024-08-24,3915
2024-08-25,5161
2024-08-26,5232
2024-08-27,8818
2024-08-28,9342
2024-08-29,5392
2024-08-30,4329
2024-08-31,6235
2024-09-01,3939
2024-09-02,3457
2024-09-03,3871
2024-09-04,7451
2024-09-05,6985
2024-09-06,3785
2024-09-07,8143
2024-09-08,3152
2024-09-09,6865
2024-09-10,6304
2024-09-11,6077
2024-09-12,5141
2024-09-13,4975
2024-09-14,7401
2024-09-15,6419
2024-09-16,5685
2024-09-17,2282
2024-09-18,9560
2024-09-19,13462
2024-09-20,5120
2024-09-21,10610
2024-09-22,5005
2024-09-23,6768
2024-09-24,3772
2024-09-25,7795
2024-09-26,3672
2024-09-27,7355
2024-09-28,8162
2024-09-29,5694
2024-09-30,5267
2024-10-01,2984
2024-10-02,6054
2024-10-03,4398
2024-10-04,3859
2024-10-05,8806
2024-10-06,3812
2024-10-07,3934
2024-10-08,9297
2024-10-09,7322
2024-10-10,5424
2024-10-11,8131
2024-10-12,3746
2024-10-13,6767
2024-10-14,4502
2024-10-15,5953
2024-10-16,8490
2024-10-17,7252
2024-10-18,7712
2024-10-19,12891
2024-10-20,9186
2024-10-21,9127
2024-10-22,6668
2024-10-23,10214
2024-10-24,6391
2024-10-25,4486
2024-10-26,5411
2024-10-27,6613
2024-10-28,3814
2024-10-29,7751
2024-10-30,4917
2024-10-31,6960
2024-11-01,6539
2024-11-02,8247
2024-11-03,6265
2024-11-04,3102
2024-11-05,3499
2024-11-06,7987
2024-11-07,5575
2024-11-08,4779
2024-11-09,13802
2024-11-10,8433
2024-11-11,1697
2024-11-12,3785
2024-11-13,10459
2024-11-14,7916
2024-11-15,4807
2024-11-16,18713
2024-11-17,12815
2024-11-18,4123
2024-11-19,8120
2024-11-20,7895
2024-11-21,9340
2024-11-22,5913
2024-11-23,3793
2024-11-24,5958
2024-11-25,8504
2024-11-26,5596
2024-11-27,5505
2024-11-28,4927
2024-11-29,10361
2024-11-30,6436
2024-12-01,8648
